id,saleprice
2658,181066.79186418772
2718,179799.89720176577
2414,163884.77545937605
1989,128952.18042713184
625,186387.45909348642
333,95508.40931445394
1327,109550.91687700845
858,137788.3549424029
95,196364.34223473445
1568,169191.04845280145
2482,165388.54614832092
1364,151297.32693600454
2584,183889.1948180109
818,353871.9485049874
2673,157458.5791257618
2089,110269.83579903298
1297,169151.9166962618
790,128336.59651738686
2616,200414.56653164513
720,219623.74190177626
222,126871.05627870056
557,122988.64084553954
1148,200722.11502309708
2766,147808.66557998542
534,197108.10320551335
1452,113435.58864857728
630,125806.34048184729
2648,132418.2372685583
125,151367.26086426602
1904,68947.04153443972
1670,104298.11905133455
756,115538.94788944276
717,296234.56690922234
1032,146147.9425656121
852,221744.32395533903
1731,157704.99085007797
2639,122009.8525028712
2071,87240.91829470624
1267,92551.89546612525
1851,207165.5492703863
567,128515.91734874221
2439,210854.88451797728
1898,152395.20055642715
647,135912.28583202243
2256,221037.85438866972
979,91254.3869529968
1444,209272.17647089134
2485,117150.99779310246
157,118593.69281870502
88,125931.4252855684
2003,125590.89783386308
186,256062.48247065014
1425,285748.92686814687
2695,126137.71398032222
738,110129.79446135781
395,151833.9036469749
1353,195360.75078097387
1878,137792.22837451936
390,184513.4392248027
1456,231970.4245281464
1103,328962.31712140795
1387,146981.96438934805
2070,133458.99142536672
1199,189543.56149346923
2479,164026.08269242386
501,330659.2081446076
2362,90448.99096418107
1718,181542.4329368833
2188,78266.7156295402
1483,130166.02208223114
2557,89682.39819243447
437,331233.0322789245
2224,197601.52520260506
1628,150780.73954054745
397,126704.22036851078
587,203071.24645153887
971,138018.11383685714
2611,152157.72934995813
1887,85492.68237908525
2399,343609.0351775378
2148,216992.5134185105
304,132903.4231946863
1997,121725.15179366438
2817,116796.81708575466
1431,161972.77328949195
427,345869.307185218
263,119854.13061907086
598,173489.30435794112
2895,272142.8574255232
687,170915.6240018915
1822,122736.56241992669
2191,107540.1828110679
179,136905.2436730358
1009,212341.00460391372
2010,119539.75829059343
1991,151143.35275225432
1411,145146.36376676382
1721,259257.87934761096
1144,175233.31235214235
593,211957.25154860408
575,274471.8484341684
1249,194541.56018096258
1604,115854.44713720889
1064,455282.13070964837
1923,157619.9645018697
1988,94242.96891854277
2325,150747.46861237925
114,218711.71266103513
2700,216625.91836514906
217,101454.14218288408
343,186980.27073016364
386,248496.60636979775
2005,101935.58309185426
2908,112138.8652858053
1814,219971.68810589003
2446,543456.1717784542
208,148947.6346526175
1679,119082.84391375727
822,336480.5566093329
6,172815.32404196748
1781,421538.7759561093
2397,273228.67519498925
2340,307882.86188391683
1618,154847.87086538377
2843,124575.26772798435
1061,368217.0900960248
2786,112611.279297144
1935,123149.71822920452
1341,111303.32478992733
521,313693.0812451858
2136,123681.53364919106
996,175765.74444418817
227,135658.87300346047
135,147745.7249491823
1167,157795.88095590565
294,211086.34693752322
1776,208677.5128209181
540,185230.84189870668
1717,181542.4329368833
2303,108173.82410471528
116,182699.28093875642
127,127764.31428002397
1371,139754.27847786705
1014,195002.74151776996
1507,81630.11016396832
702,169601.27996683083
750,190454.96161388844
261,135371.68701951136
1559,86069.56621758272
577,239125.17128546847
2812,199593.123869512
2080,158831.4232170268
1368,120778.95009168981
2376,114584.2855999621
659,104978.45735683656
1235,129138.42501083497
332,84967.44329456537
1917,132473.33928585798
2094,253787.26417568058
1460,286665.4836235354
1471,191340.72867330693
1509,118865.31902910906
1922,126530.65133339974
433,476524.6178648758
460,274134.9878423146
1116,276014.89726062963
1137,163750.88708457083
53,177393.0471304727
2354,239432.59770526504
1475,214616.75497876975
1761,590732.2785753096
842,131011.6541006741
2739,170444.61018206057
2509,137250.6570464177
1007,202967.6256375098
2610,178359.89341354623
1952,95583.14141668558
2719,179582.2903629647
2921,95508.40931445394
1966,137093.42140373494
292,112716.50779117804
1204,215794.7707017624
1829,245052.6671261749
2419,170902.70448012784
391,170040.27073298857
798,124861.80083831935
481,173799.35485094108
193,196849.46569806422
555,129151.818177534
899,76230.12383092562
2357,192720.3018548005
328,118689.45914591615
1356,120873.82891288155
1154,112468.32563456256
1730,155073.51900885993
2249,138288.95483639918
1119,259975.54856219472
2856,139096.45988680597
1394,127334.60003490502
2587,123299.21242509561
61,345280.1151597774
2661,239252.86234491272
2711,131964.04484864103
1147,174299.2506229549
757,132140.11005121263
2623,89427.74330510717
2378,159472.14442534128
1413,125831.05773614737
1722,232831.86749824532
1112,197829.38266158014
1623,178873.973910478
1201,188752.5100692874
1513,113761.15556571847
957,261378.67094123317
1171,286878.34926380566
1145,197195.72816683588
2726,244090.15147698298
703,145676.58576863882
760,91343.10555001633
1964,125721.44679163913
2512,166962.37720527055
159,175675.67555859155
1281,175185.4137709021
468,153039.7456012697
290,130755.43188976593
665,113977.07322160143
1463,286580.1693429287
1792,230181.82997892064
923,138299.4662265904
500,280535.7729745789
1408,118197.94945582049
331,77888.0472143211
170,117756.86400522344
2192,94966.006507727
2571,335909.31179883156
2314,149864.05090813094
2647,110091.17838585378
422,427901.73218772956
2457,339739.07864436635
1838,204206.90591768475
2805,256732.9104387259
1645,172423.70446097126
1711,304309.16171334597
2825,247817.59884736326
322,369664.8181925352
2103,290144.9767692348
342,131394.84799510357
600,106187.63880127919
488,186896.349832393
1725,327846.58924619993
2246,262083.17228694013
2847,156786.31984998166
806,258203.83765197353
530,227313.982172846
963,185000.0807736932
2678,93683.73543411217
171,89318.00488922968
2401,403075.45049985533
805,220497.57430789125
2259,200783.41288701002
1748,141660.8789375435
1361,145086.00879302117
1677,126732.95337151295
1406,160104.99580308408
2322,214072.8665385386
688,175706.45897354436
143,139826.36614904713
804,196013.13233867803
1214,180490.15283614842
2828,138687.3681742615
1999,219693.6303966001
2467,185333.61775705998
2665,191120.10892309356
1538,389322.0556146401
398,104827.40510773614
2822,134271.88067823765
2157,130166.02208223114
1856,161372.37867824503
1269,99337.3291097281
2570,126962.54632482165
2320,245335.94963873108
1517,146072.33905305056
2304,104932.75754287957
1312,98715.17370553437
2012,145585.52266870017
506,212236.16722478688
2865,210167.48583991744
2367,103082.99477486113
554,120418.95081669101
238,135566.0466494494
1954,114938.4969582264
2488,145313.56785532605
2291,95508.40931445394
1969,88541.66803656357
2725,158414.7340989024
1482,130166.02208223114
2763,187416.29437940393
503,235699.9298257305
1584,241262.5340238061
1531,168420.17123701167
2210,195221.15731800202
459,330276.6299760955
556,130132.51374195708
1347,173962.31165604782
1290,94161.9911491168
1388,106543.88190331776
1571,175173.88383454876
2754,200916.98128481457
765,130691.4955443932
2494,124875.43729973296
2870,169130.81607916424
7,231072.44051382173
1114,241996.9761794388
2418,292932.8451822148
291,145268.87037280257
18,355322.655992702
39,357347.9789735612
1001,268322.043325555
2442,235527.86220455213
616,122459.39952992226
2680,69370.90685181884
1414,131207.67013390717
289,149384.78428170644
40,276504.0356646589
860,123518.59330225988
409,133027.33545587884
673,140924.09344171558
2427,177036.08282696325
2036,186901.6292828177
2564,133166.0207583132
642,178836.3489364173
1008,172651.51630886094
1908,166631.33820093403
2519,220330.8830081237
1369,97241.67110400854
2855,171099.55770031916
712,101108.6923821878
1943,110508.12233505651
1958,144232.33062234937
107,148660.2565795903
2295,165360.68434881265
704,107628.84658892787
676,127226.26034274156
259,171417.23344837612
93,309771.54071536177
106,240868.07157355
2315,175872.4977289465
1050,113873.33350144984
1095,173312.03660326
2709,138144.3215313001
758,167971.62080954743
1496,146819.36659894048
2370,126732.95337151295
2458,267862.5012541251
2733,128048.64051341347
161,258823.41948001678
726,165509.063184511
845,216631.17824149944
947,274088.7624998515
2232,120210.48975251011
2563,149056.26242609258
2299,118768.20030446602
211,115422.59162672216
605,186959.98145646264
1478,213558.0309162178
2247,263038.8229803281
2274,184573.13825784152
2869,168787.9484553081
967,220956.09823196253
2656,98712.87347679607
667,254870.75063129427
1042,105776.18232127558
