age,workclass,education-num,marital-status,occupation,relationship,sex,capital-gain,capital-loss,hours-per-week,native-country,wage
56,3,5,0,0,1,1,0,0,40,37,0
28,3,9,2,2,0,1,0,0,45,37,0
33,3,13,2,11,0,1,7688,0,50,37,1
26,3,13,2,7,0,1,0,0,45,37,1
40,0,14,4,3,1,0,14084,0,55,37,1
66,3,9,6,11,1,0,0,0,40,37,0
30,3,11,2,12,5,0,0,0,35,10,0
43,3,14,2,3,0,1,0,0,50,37,1
56,3,9,2,2,0,1,0,0,40,37,0
29,3,9,4,11,4,1,0,0,38,37,0
64,5,9,2,11,0,1,0,0,15,37,1
52,3,14,4,9,1,1,0,0,40,37,0
41,3,11,4,9,1,0,0,0,60,37,0
42,6,9,2,3,0,1,0,0,40,37,1
32,3,9,4,7,1,0,0,0,34,37,0
58,5,6,2,2,0,1,0,0,40,37,0
24,3,9,4,13,3,1,0,0,50,37,0
19,3,10,4,5,3,1,0,0,40,37,0
32,5,9,0,3,4,0,0,0,40,37,0
33,3,13,2,0,0,1,0,0,60,18,1
55,5,6,2,11,0,1,7688,0,50,37,1
53,3,13,0,3,1,1,0,0,70,37,0
38,3,9,0,0,3,0,0,0,40,37,0
17,3,7,4,4,3,1,0,0,45,37,0
32,4,13,2,11,0,1,0,0,45,37,0
24,3,10,4,11,3,1,0,1762,40,37,0
19,3,10,4,7,3,0,0,0,10,37,0
34,3,9,2,7,0,1,0,0,25,37,0
39,3,10,0,3,4,0,0,0,39,37,0
44,5,10,5,11,4,1,0,0,60,37,0
35,3,13,3,9,1,0,0,0,40,28,0
46,3,10,0,9,1,0,0,0,40,37,0
22,3,7,4,2,3,1,0,0,40,37,0
49,3,13,4,3,1,0,0,0,56,37,1
39,3,12,2,11,0,1,0,0,24,37,0
38,4,12,0,3,4,1,0,0,45,37,0
29,3,9,2,0,5,0,0,0,40,37,0
18,3,5,4,6,3,1,0,0,40,24,0
38,3,10,4,0,3,0,0,0,40,37,0
29,3,11,2,9,0,1,0,0,40,37,0
27,0,9,5,3,4,0,0,0,40,37,0
76,1,9,2,10,0,1,0,0,15,37,0
46,1,12,2,0,0,1,0,0,40,37,0
31,6,9,2,4,0,1,0,0,40,37,0
46,5,9,2,9,0,1,0,0,60,37,0
